종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"091970","나노캠텍","KOSDAQ","화학","603","-7","-1.15","22717363509"
"417010","나노팀","KOSDAQ","기계·장비","6530","1500","29.82","131727913840"
"405920","나라셀라","KOSDAQ","유통","2320","5","0.22","29877136320"
"051490","나라엠앤디","KOSDAQ","기계·장비","4000","-125","-3.03","56800000000"
"137080","나래나노텍","KOSDAQ","기계·장비","3320","25","0.76","36717281040"
"190510","나무가","KOSDAQ","전기·전자","17670","530","3.09","253491611250"
"242040","나무기술","KOSDAQ","IT 서비스","1394","-5","-0.36","48241132016"
"293580","나우IB","KOSDAQ","금융","1371","-145","-9.56","130148961450"
"459510","나우로보틱스","KOSDAQ","기계·장비","23250","-1650","-6.63","301212631500"
"138610","나이벡","KOSDAQ","제약","48150","-2350","-4.65","547078855500"
"130580","나이스디앤비","KOSDAQ","일반서비스","5930","-170","-2.79","91322000000"
"036800","나이스정보통신","KOSDAQ","통신","24550","-350","-1.41","245500000000"
"267320","나인테크","KOSDAQ","기계·장비","3055","-135","-4.23","175403726225"
"111710","남화산업","KOSDAQ","오락·문화","4485","0","0.00","92337180000"
"091590","남화토건","KOSDAQ","건설","3880","-60","-1.52","45551200000"
"168330","내츄럴엔도텍","KOSDAQ","일반서비스","3150","-75","-2.33","100027935000"
"094860","네오리진","KOSDAQ","IT 서비스","1135","6","0.53","27296260815"
"253590","네오셈","KOSDAQ","기계·장비","9390","-260","-2.69","411931449960"
"212560","네오오토","KOSDAQ","운송장비·부품","6820","-330","-4.62","80559483620"
"095660","네오위즈","KOSDAQ","IT 서비스","25450","50","0.20","556255967200"
"042420","네오위즈홀딩스","KOSDAQ","IT 서비스","26450","150","0.57","221288185350"
"950220","네오이뮨텍","KOSDAQ","일반서비스","665","-34","-4.86","109320450575"
"311390","네오크레마","KOSDAQ","음식료·담배","5880","40","0.68","74404279320"
"085910","네오티스","KOSDAQ","운송장비·부품","8510","460","5.71","118585301180"
"092730","네오팜","KOSDAQ","화학","19910","90","0.45","319117260990"
"290660","네오펙트","KOSDAQ","의료·정밀기기","870","4","0.46","43916392440"
"306620","네온테크","KOSDAQ","기계·장비","2145","-90","-4.03","96555587700"
"153460","네이블","KOSDAQ","IT 서비스","6860","10","0.15","44795896040"
"007390","네이처셀","KOSDAQ","제약","22900","-100","-0.43","1475562782400"
"033640","네패스","KOSDAQ","전기·전자","15930","-850","-5.07","367333087860"
"330860","네패스아크","KOSDAQ","일반서비스","15670","-740","-4.51","190923985150"
"351320","넥사다이내믹스","KOSDAQ","기계·장비","1306","31","2.43","37643820112"
"089140","넥스턴앤롤코리아","KOSDAQ","기계·장비","2280","-20","-0.87","34009013520"
"389650","넥스트바이오메디컬","KOSDAQ","의료·정밀기기","88500","3500","4.12","726043911000"
"137940","넥스트아이","KOSDAQ","의료·정밀기기","314","-6","-1.88","26805863488"
"396270","넥스트칩","KOSDAQ","전기·전자","4000","-290","-6.76","80674124000"
"348210","넥스틴","KOSDAQ","기계·장비","65700","-2300","-3.38","688339228500"
"225570","넥슨게임즈","KOSDAQ","IT 서비스","12220","-90","-0.73","804811326280"
"205500","넥써쓰","KOSDAQ","IT 서비스","1968","-20","-1.01","117537211824"
"217270","넵튠","KOSDAQ","IT 서비스","4910","-140","-2.77","229472007130"
"104620","노랑풍선","KOSDAQ","일반서비스","5130","-90","-1.72","86238131760"
"473980","노머스","KOSDAQ","오락·문화","21900","200","0.92","240928951800"
"194700","노바렉스","KOSDAQ","음식료·담배","14550","210","1.46","272883038400"
"285490","노바텍","KOSDAQ","기타제조","20750","-200","-0.95","219448493250"
"145170","노브랜드","KOSDAQ","섬유·의류","4175","-65","-1.53","70592590875"
"106520","노블엠앤비","KOSDAQ","의료·정밀기기","411","0","0.00","15904036272"
"376930","노을","KOSDAQ","의료·정밀기기","2180","-90","-3.96","80544590800"
"486990","노타","KOSDAQ","IT 서비스","39750","-2550","-6.03","847630192500"
"142280","녹십자엠에스","KOSDAQ","제약","4130","-60","-1.43","89794154380"
"234690","녹십자웰빙","KOSDAQ","제약","9580","-100","-1.03","170066804080"
"054050","농우바이오","KOSDAQ","농업, 임업 및 어업","8300","-70","-0.84","133053656300"
"069140","누리플랜","KOSDAQ","금속","2560","50","1.99","33543022080"
"040160","누리플렉스","KOSDAQ","IT 서비스","3905","10","0.26","47076864175"
"332290","누보","KOSDAQ","화학","1280","-28","-2.14","51077637120"
"348340","뉴로메카","KOSDAQ","기계·장비","31600","-3050","-8.80","359257935200"
"380550","뉴로핏","KOSDAQ","IT 서비스","28300","-2700","-8.71","329315864900"
"060260","뉴보텍","KOSDAQ","화학","1240","-12","-0.96","16754891160"
"463020","뉴엔AI","KOSDAQ","IT 서비스","17230","-1120","-6.10","152988616000"
"123840","뉴온","KOSDAQ","음식료·담배","1000","10","1.01","37154307000"
"012340","뉴인텍","KOSDAQ","운송장비·부품","592","-37","-5.88","31378996704"
"462310","뉴키즈온","KOSDAQ","섬유·의류","5940","-20","-0.34","46937880000"
"270870","뉴트리","KOSDAQ","음식료·담배","5340","-70","-1.29","49129196160"
"144960","뉴파워프라즈마","KOSDAQ","기계·장비","4815","-140","-2.83","210379984560"
"085670","뉴프렉스","KOSDAQ","전기·전자","5040","-110","-2.14","123231835440"
"064260","다날","KOSDAQ","IT 서비스","6550","-520","-7.36","491718187450"
"340360","다보링크","KOSDAQ","전기·전자","1342","-88","-6.15","58983461878"
"039560","다산네트웍스","KOSDAQ","전기·전자","3180","0","0.00","125972459580"
"208860","다산디엠씨","KOSDAQ","IT 서비스","1450","-81","-5.29","49227460850"
"154040","다산솔루에타","KOSDAQ","전기·전자","1171","0","0.00","21019560074"
"032190","다우데이타","KOSDAQ","유통","20200","-500","-2.42","773660000000"
"323350","다원넥스뷰","KOSDAQ","기계·장비","5370","-90","-1.65","43017845640"
"068240","다원시스","KOSDAQ","전기·전자","2605","-190","-6.80","99415753385"
"464580","닷밀","KOSDAQ","오락·문화","2500","-15","-0.60","46015222500"
"020400","대동금속","KOSDAQ","금속","5750","-130","-2.21","18337704500"
"008830","대동기어","KOSDAQ","기계·장비","17210","-540","-3.04","154675219200"
"048470","대동스틸","KOSDAQ","유통","2850","-60","-2.06","28500000000"
"004780","대륙제관","KOSDAQ","금속","3595","-25","-0.69","57172000405"
"017650","대림제지","KOSDAQ","종이·목재","7970","20","0.25","71730000000"
"389260","대명에너지","KOSDAQ","건설","18830","-670","-3.44","337364399750"
"317850","대모","KOSDAQ","기계·장비","8390","-40","-0.47","69841883800"
"290670","대보마그네틱","KOSDAQ","전기·전자","13970","-540","-3.72","109771510200"
"078140","대봉엘에스","KOSDAQ","제약","12370","-40","-0.32","137140982230"
"065150","대산F&B","KOSDAQ","유통","145","0","0.00","23110448725"
"036480","대성미생물","KOSDAQ","제약","7210","-40","-0.55","27398000000"
"027830","대성창투","KOSDAQ","금융","1593","-36","-2.21","86022000000"
"104040","대성파인텍","KOSDAQ","운송장비·부품","699","-8","-1.13","93713410374"
"129920","대성하이텍","KOSDAQ","기계·장비","3990","-90","-2.21","54723061470"
"457630","대신밸런스제16호스팩","KOSDAQ","금융","2075","-5","-0.24","15168250000"
"471050","대신밸런스제17호스팩","KOSDAQ","금융","2185","-30","-1.35","13241100000"
"478780","대신밸런스제18호스팩","KOSDAQ","금융","3110","-195","-5.90","24600100000"
"482690","대신밸런스제19호스팩","KOSDAQ","금융","2165","-10","-0.46","12156475000"
"020180","대신정보통신","KOSDAQ","IT 서비스","1039","-17","-1.61","39927642685"
"045390","대아티아이","KOSDAQ","전기·전자","3860","-85","-2.15","272027235220"
"108380","대양전기공업","KOSDAQ","운송장비·부품","28750","50","0.17","275060823750"
"007680","대원","KOSDAQ","건설","4385","-25","-0.57","58962788490"
"048910","대원미디어","KOSDAQ","유통","7970","-330","-3.98","100254199620"
"005710","대원산업","KOSDAQ","운송장비·부품","14700","-590","-3.86","294552720000"
"120240","대정화금","KOSDAQ","화학","13260","120","0.91","95344584660"
"003310","대주산업","KOSDAQ","음식료·담배","2235","35","1.59","79101902250"
"078600","대주전자재료","KOSDAQ","전기·전자","71200","-4600","-6.07","1102218221600"
"393970","대진첨단소재","KOSDAQ","화학","5010","-500","-9.07","74322448200"
"096350","대창솔루션","KOSDAQ","금속","2190","-50","-2.23","80711928780"
"140520","대창스틸","KOSDAQ","금속","2200","-30","-1.35","46440334600"
"131220","대한과학","KOSDAQ","유통","4870","-80","-1.62","36303366300"
"010170","대한광통신","KOSDAQ","전기·전자","2445","25","1.03","322704938700"
"054670","대한뉴팜","KOSDAQ","제약","6980","180","2.65","100197341600"
"023910","대한약품","KOSDAQ","제약","30000","-350","-1.15","180000000000"
"021040","대호특수강","KOSDAQ","금속","1227","-17","-1.37","26631757698"
"021045","대호특수강우","KOSDAQ","금속","2820","0","0.00","2392747440"
"067080","대화제약","KOSDAQ","제약","18830","-280","-1.47","350551519500"
"298540","더네이쳐홀딩스","KOSDAQ","섬유·의류","9030","-60","-0.66","130812065580"
"032860","더라미","KOSDAQ","일반서비스","1472","212","16.83","59462710336"
"393890","더블유씨피","KOSDAQ","전기·전자","7140","-250","-3.38","241640048160"
"299170","더블유에스아이","KOSDAQ","유통","2475","-175","-6.60","95557866525"
"462860","더즌","KOSDAQ","통신","3815","-180","-4.51","273586655335"
"224060","더코디","KOSDAQ","기계·장비","2630","-70","-2.59","13572698860"
"043090","더테크놀로지","KOSDAQ","유통","380","0","0.00","4718944500"
"403850","더핑크퐁컴퍼니","KOSDAQ","오락·문화","27550","-850","-2.99","395370325500"
"213420","덕산네오룩스","KOSDAQ","전기·전자","38250","-700","-1.80","949792596750"
"317330","덕산테코피아","KOSDAQ","화학","18520","-1030","-5.27","379226335680"
"077360","덕산하이메탈","KOSDAQ","전기·전자","5730","-140","-2.39","260354021460"
"090410","덕신이피씨","KOSDAQ","금속","1313","-33","-2.45","60508416735"
"263600","덕우전자","KOSDAQ","전기·전자","4465","-70","-1.54","71128834150"
"194480","데브시스터즈","KOSDAQ","IT 서비스","29000","300","1.05","351745350000"
"373160","데이원컴퍼니","KOSDAQ","일반서비스","5100","-170","-3.23","70406616900"
"263800","데이타솔루션","KOSDAQ","유통","5160","-190","-3.55","83707480800"
"206560","덱스터","KOSDAQ","오락·문화","4165","-110","-2.57","105839880440"
"261200","덴티스","KOSDAQ","의료·정밀기기","4490","-105","-2.29","70985553000"
"484120","도우인시스","KOSDAQ","전기·전자","22550","-1050","-4.45","242570846100"
"067990","도이치모터스","KOSDAQ","유통","4785","-15","-0.31","139633716750"
"006620","동구바이오제약","KOSDAQ","제약","5670","-100","-1.73","161396504640"
"100130","동국S&C","KOSDAQ","금속","2080","-40","-1.89","118857440000"
"005160","동국산업","KOSDAQ","금속","2880","-75","-2.54","156224108160"
"303810","동국생명과학","KOSDAQ","제약","3710","25","0.68","118661159400"
"075970","동국알앤에스","KOSDAQ","비금속","2345","-40","-1.68","43148000000"
"086450","동국제약","KOSDAQ","제약","18320","90","0.49","828621294400"
"240550","동방메디컬","KOSDAQ","의료·정밀기기","7310","-370","-4.82","152123000600"
"099410","동방선기","KOSDAQ","운송장비·부품","4700","-80","-1.67","65800000000"
"033500","동성화인텍","KOSDAQ","화학","27250","0","0.00","817213711500"
"025950","동신건설","KOSDAQ","건설","17670","-1380","-7.24","148428000000"
"088130","동아엘텍","KOSDAQ","기계·장비","3940","-40","-1.01","68892137160"
"041930","동아화성","KOSDAQ","화학","6520","-60","-0.91","103016000000"
"060380","동양에스텍","KOSDAQ","금속","1531","-19","-1.23","30160700000"
"079960","동양이엔피","KOSDAQ","전기·전자","25350","-200","-0.78","199251000000"
"228340","동양파일","KOSDAQ","비금속","1764","0","0.00","35280000000"
"088910","동우팜투테이블","KOSDAQ","음식료·담배","2095","-5","-0.24","54117545580"
"094170","동운아나텍","KOSDAQ","전기·전자","28550","-900","-3.06","596978672800"
"013120","동원개발","KOSDAQ","건설","2815","-30","-1.05","255624801500"
"109860","동일금속","KOSDAQ","금속","7960","-40","-0.50","72436000000"
"032960","동일기연","KOSDAQ","전기·전자","15480","1150","8.03","63755850600"
"023790","동일스틸럭스","KOSDAQ","금속","1502","-57","-3.66","39261704734"
"005290","동진쎄미켐","KOSDAQ","화학","35450","-1100","-3.01","1822643812300"
"025900","동화기업","KOSDAQ","종이·목재","9060","-440","-4.63","458049002100"
"131970","두산테스나","KOSDAQ","일반서비스","41100","-1150","-2.72","794349481800"
"073190","듀오백","KOSDAQ","기타제조","1742","0","0.00","20848325680"
"176750","듀켐바이오","KOSDAQ","제약","8590","-320","-3.59","244430339800"
"030350","드래곤플라이","KOSDAQ","IT 서비스","973","0","0.00","13503093562"
"203650","드림시큐리티","KOSDAQ","IT 서비스","1572","-56","-3.44","150334830768"
"223250","드림씨아이에스","KOSDAQ","일반서비스","5820","-80","-1.36","138512065680"
"060570","드림어스컴퍼니","KOSDAQ","오락·문화","1590","-4","-0.25","117821501070"
"362990","드림인사이트","KOSDAQ","일반서비스","1721","-10","-0.58","28913787854"
"016670","디모아","KOSDAQ","유통","4600","-25","-0.54","34933476400"
